ballot_number,rank_groups,rejected
42,"[[""jun-7""], [""sep-13""], [""jul-5""], [""jun-14""], [""sep-20""], [""sep-27""], [""may-31""]]","[""sep-6""]"
43,"[[""jun-7""], [""sep-13""], [""may-31""], [""sep-6""], [""jun-14""], [""jul-5""], [""sep-20""], [""sep-27""]]",[]
44,"[[""jun-7""], [""sep-13""], [""sep-20""], [""may-31""], [""sep-6""], [""jun-14""], [""sep-27""]]","[""jul-5""]"
45,"[[""jun-7""], [""sep-13""], [""sep-6""], [""may-31"", ""jun-14"", ""sep-20""], [""sep-27""]]","[""jul-5""]"
46,"[[""jun-7""], [""sep-20""], [""sep-13""], [""sep-27""], [""jun-14""], [""sep-6""], [""may-31""], [""jul-5""]]",[]
47,"[[""jun-7""], [""sep-6""], [""sep-13""], [""may-31"", ""jun-14"", ""sep-20""]]","[""jul-5"", ""sep-27""]"
48,"[[""may-31"", ""jun-7"", ""jun-14""], [""jul-5""]]","[""sep-6"", ""sep-13"", ""sep-20"", ""sep-27""]"
49,"[[""may-31"", ""jun-7""], [""jul-5""], [""jun-14""], [""sep-6"", ""sep-13"", ""sep-20"", ""sep-27""]]",[]
50,"[[""may-31"", ""jun-7""], [""jun-14""], [""sep-27""], [""sep-6"", ""sep-13"", ""sep-20""]]","[""jul-5""]"
51,"[[""may-31"", ""sep-13""], [""jun-7""], [""sep-20""], [""jun-14""], [""sep-27""], [""sep-6""]]","[""jul-5""]"
52,"[[""may-31"", ""sep-27""], [""sep-20""], [""jun-7"", ""jun-14"", ""sep-13""], [""sep-6""]]","[""jul-5""]"
53,"[[""may-31"", ""sep-6""], [""sep-13""], [""sep-20""], [""sep-27""], [""jun-7""], [""jun-14""], [""jul-5""]]",[]
54,"[[""may-31""], [""jun-7"", ""sep-20""], [""sep-13""], [""sep-6""], [""sep-27""], [""jul-5""]]",[]
55,"[[""may-31""], [""jun-7""], [""jul-5""], [""jun-14""], [""sep-6""]]","[""sep-13"", ""sep-20"", ""sep-27""]"
56,"[[""may-31""], [""jun-7""], [""jun-14""], [""jul-5""], [""sep-6""], [""sep-13""], [""sep-20""], [""sep-27""]]",[]
57,"[[""may-31""], [""jun-7""], [""jun-14""], [""sep-27""], [""sep-20""], [""sep-13""], [""sep-6""], [""jul-5""]]",[]
58,"[[""may-31""], [""jun-7""], [""jun-14""]]",[]
59,"[[""may-31""], [""jun-7""], [""sep-27""], [""sep-20""], [""sep-13""], [""sep-6""], [""jun-14""], [""jul-5""]]",[]
60,"[[""may-31""], [""jun-7""], [""sep-27""]]","[""jun-14"", ""jul-5"", ""sep-6"", ""sep-13"", ""sep-20""]"
61,"[[""sep-13"", ""sep-20""], [""jun-7""]]","[""may-31"", ""jun-14"", ""jul-5"", ""sep-6"", ""sep-27""]"
62,"[[""sep-13"", ""sep-20""], [""sep-27""], [""jun-7""], [""sep-6""], [""may-31""], [""jun-14""]]","[""jul-5""]"
63,"[[""sep-13""], [""jun-7"", ""sep-20""], [""may-31"", ""jun-14"", ""sep-6""], [""sep-27""], [""jul-5""]]",[]
64,"[[""sep-13""], [""jun-7"", ""sep-6""], [""sep-20""], [""jun-14""], [""jul-5""], [""may-31""], [""sep-27""]]",[]
65,"[[""sep-13""], [""may-31"", ""sep-6""], [""jun-7"", ""sep-20""], [""sep-27""], [""jun-14""]]","[""jul-5""]"
66,"[[""sep-13""], [""sep-20""], [""jun-7"", ""sep-6""], [""jun-14""], [""sep-27""]]","[""may-31"", ""jul-5""]"
67,"[[""sep-13""], [""sep-20""], [""sep-6""], [""jun-7""], [""sep-27""], [""may-31""]]","[""jun-14"", ""jul-5""]"
68,"[[""sep-13""], [""sep-6"", ""sep-20""], [""jun-7""]]","[""may-31"", ""jun-14"", ""jul-5"", ""sep-27""]"
69,"[[""sep-13""], [""sep-6"", ""sep-20""], [""jun-7""]]","[""may-31"", ""jun-14"", ""jul-5"", ""sep-27""]"
70,"[[""sep-13""], [""sep-6"", ""sep-20""], [""sep-27""], [""jun-7""], [""jun-14""]]","[""may-31"", ""jul-5""]"
71,"[[""sep-13""], [""sep-6""], [""jun-7""], [""jun-14""]]","[""may-31"", ""jul-5"", ""sep-20"", ""sep-27""]"
72,"[[""sep-20""], [""jun-14""], [""jun-7""], [""sep-13""], [""may-31""], [""sep-6""], [""sep-27""], [""jul-5""]]",[]
73,"[[""sep-20""], [""sep-13"", ""sep-27""], [""sep-6""], [""jun-7""]]","[""may-31"", ""jun-14"", ""jul-5""]"
74,"[[""sep-20""], [""sep-13""], [""sep-6"", ""sep-27""], [""jun-7"", ""jun-14""], [""may-31"", ""jul-5""]]",[]
75,"[[""sep-20""], [""sep-27""], [""sep-13""], [""may-31""], [""jun-7""], [""jun-14""], [""sep-6""]]","[""jul-5""]"
76,"[[""sep-27""], [""sep-20""], [""sep-13""], [""sep-6""], [""may-31""], [""jun-7""]]","[""jun-14"", ""jul-5""]"
77,"[[""sep-27""], [""sep-6""], [""sep-13""], [""sep-20""], [""jun-7""], [""may-31""]]","[""jun-14"", ""jul-5""]"
78,"[[""sep-6"", ""sep-13"", ""sep-20"", ""sep-27""], [""jun-14""], [""jun-7""], [""may-31""], [""jul-5""]]",[]
79,"[[""sep-6"", ""sep-13"", ""sep-20""], [""may-31"", ""sep-27""], [""jun-7"", ""jun-14"", ""jul-5""]]",[]
80,"[[""sep-6"", ""sep-13""], [""sep-20""], [""may-31"", ""sep-27""], [""jun-7""], [""jun-14""], [""jul-5""]]",[]
81,"[[""sep-6"", ""sep-13""], [""sep-20""], [""sep-27""], [""may-31""], [""jun-7"", ""jun-14""]]","[""jul-5""]"
82,"[[""sep-6"", ""sep-13""], [""sep-20""], [""sep-27""], [""may-31""], [""jun-7""], [""jun-14""], [""jul-5""]]",[]
83,"[[""sep-6""], [""jun-14""], [""jun-7""], [""sep-13""], [""sep-20""], [""may-31""], [""sep-27""], [""jul-5""]]",[]
84,"[[""sep-6""], [""jun-7"", ""sep-13""], [""sep-20""], [""jun-14""]]","[""may-31"", ""jul-5"", ""sep-27""]"
85,"[[""sep-6""], [""may-31""], [""jul-5""], [""sep-13""], [""sep-20""], [""sep-27""], [""jun-7""]]","[""jun-14""]"
86,"[[""sep-6""], [""sep-13""], [""jul-5"", ""sep-20""], [""sep-27""], [""jun-14""], [""may-31"", ""jun-7""]]",[]
87,"[[""sep-6""], [""sep-13""], [""jul-5""], [""sep-20""], [""may-31"", ""jun-7"", ""jun-14"", ""sep-27""]]",[]
88,"[[""sep-6""], [""sep-13""], [""jun-14""], [""jun-7""], [""may-31""]]","[""jul-5"", ""sep-20"", ""sep-27""]"
89,"[[""sep-6""], [""sep-13""], [""jun-7""], [""sep-20""], [""sep-27""], [""may-31""], [""jun-14""]]","[""jul-5""]"
90,"[[""sep-6""], [""sep-13""], [""sep-20"", ""sep-27""], [""may-31"", ""jun-7""], [""jun-14""]]","[""jul-5""]"
91,"[[""sep-6""], [""sep-13""], [""sep-20""], [""jun-14""], [""jun-7""], [""may-31""], [""sep-27""], [""jul-5""]]",[]
92,"[[""sep-6""], [""sep-13""], [""sep-20""], [""jun-7""], [""jun-14""], [""jul-5""]]","[""may-31"", ""sep-27""]"
93,"[[""sep-6""], [""sep-13""], [""sep-20""], [""sep-27""], [""jun-14""], [""jun-7""], [""may-31""], [""jul-5""]]",[]
94,"[[""sep-6""], [""sep-13""], [""sep-20""], [""sep-27""], [""jun-14""], [""jun-7""], [""may-31""]]","[""jul-5""]"
95,"[[""sep-6""], [""sep-13""], [""sep-27""], [""sep-20""], [""jul-5""]]",[]
96,"[[""sep-6""], [""sep-27""], [""sep-20""], [""sep-13""], [""jul-5""], [""jun-14""], [""jun-7""], [""may-31""]]",[]
97,"[[""sep-6""]]",[]
